Imagen,Num_Nucleos,Area_Media_px2,Area_Min_px2,Area_Max_px2
TCGA-50-5931-01Z-00-DX1.png,2124,96.94,1,1301
TCGA-NH-A8F7-01A-01-TS1.png,1731,156.34,4,2443
TCGA-G9-6363-01Z-00-DX1.png,1297,82.25,5,847
TCGA-21-5786-01Z-00-DX1.png,2014,83.37,1,849
TCGA-G2-A2EK-01A-02-TSB.png,758,256.99,1,1702
TCGA-B0-5710-01Z-00-DX1.png,1679,208.49,2,1879
TCGA-HE-7129-01Z-00-DX1.png,3406,76.33,1,1775
TCGA-E2-A14V-01Z-00-DX1.png,1824,86.22,1,1185
TCGA-21-5784-01Z-00-DX1.png,1039,326.80,5,1410
TCGA-18-5592-01Z-00-DX1.png,1676,164.79,1,1615
TCGA-G9-6336-01Z-00-DX1.png,1910,112.30,4,1657
TCGA-49-4488-01Z-00-DX1.png,1999,146.70,4,1217
TCGA-B0-5698-01Z-00-DX1.png,1569,231.57,2,2260
TCGA-HE-7128-01Z-00-DX1.png,1871,66.37,3,427
TCGA-AY-A8YK-01A-01-TS1.png,1854,191.23,2,1314
TCGA-CH-5767-01Z-00-DX1.png,1444,233.00,7,1248
TCGA-G9-6362-01Z-00-DX1.png,2122,109.42,1,1365
TCGA-RD-A8N9-01A-01-TS1.png,1389,220.35,3,898
TCGA-G9-6356-01Z-00-DX1.png,1256,138.00,4,784
TCGA-AR-A1AK-01Z-00-DX1.png,1670,149.47,6,977
TCGA-A7-A13E-01Z-00-DX1.png,1064,234.88,2,1140
TCGA-G9-6348-01Z-00-DX1.png,1293,113.47,4,1587
TCGA-E2-A1B5-01Z-00-DX1.png,1101,135.86,1,1432
TCGA-B0-5711-01Z-00-DX1.png,1285,194.14,1,1332
TCGA-AR-A1AS-01Z-00-DX1.png,1258,190.76,4,1106
TCGA-HE-7130-01Z-00-DX1.png,2201,121.15,1,1296
TCGA-A7-A13F-01Z-00-DX1.png,1465,98.96,4,1123
TCGA-KB-A93J-01A-01-TS1.png,1834,174.18,1,913
TCGA-DK-A2I6-01A-01-TS1.png,1053,211.60,5,2033
TCGA-38-6178-01Z-00-DX1.png,1678,134.38,4,1197
